name,position,organization,sources
Al Martinez,President of the Tuckahoe Equestrian Center,,news/19AFB81A0D6CC098
Alan Girard,Maryland advocacy director at the Chesapeake Bay Foundation,,"news/19738B66CCECCAC8, news/19739A3400E01348, news/19859F478E8F9D88, news/19996565990F4C68"
Albert Nickerson,Chestertown Councilman,,news/194C45AA4EBC7218
Alice Volpitta,Baltimore Harbor Waterkeeper for Blue Water Baltimore,,news/19937841FA241C08
Allison Colden,Maryland executive director of the Chesapeake Bay Foundation,,"news/194D0372B2A587C8, news/19738B6628F415C8, news/19791D446EEA0280, news/1980197EC51EF960, news/19928E2A58D6BBF0, news/1998652A4A4D2948, news/1999656585E1E3D0, news/19B9101A68745E78, news/1A1D91A20E512170"
Amanda Poskaitis,coastal resilience program manager,,news/19739A34AE21B910
Amy Jacobs,Chesapeake Bay Director,,news/1A1C908E7A4242C8
Andy Harris,U.S. Representative,,"news/19739A2D4A388FD8, news/19739A2E14530C78, news/19B9101D28177938, news/1A252371635BD1A0"
Annie Richards,Chester Riverkeeper,,"news/19480AE592DD6050, news/19A04E9D5D7B35F0"
Anthony Brown,Attorney General,,news/19739A2E58FA12D0
Aruna Miller,Lt. Gov.,,news/1939343E6BAFB358
Autumn Conley,Chesapeake Conservation and Climate Corps member,,news/198B8E098F8CC238
Ben Cardin,U.S. Senator,,"news/194C45AA2C2DFB78, news/19739A2D4A388FD8, news/19739A2E14530C78, news/197A6F6F139755C8"
Ben Ford,Miles-Wye riverkeeper,,news/195ADD0B34711068
Ben Grumbles,Maryland Environment Secretary,,news/19937841FA241C08
Beth Schlimm,Maryland DNR Herptologist,Maryland Department of Natural Resources,news/19859F46F5D58650
Bethany Ziegler,Communications Director,,news/198BA2D671D03280
Bettye Maki,Talbot Bird Club president,,news/19757B561DCBFDA0
Bill Dennison,UMCES Vice President,,news/1943F02EB2460A78
Bob Campbell,National Park Service Planning and Development Manager,,news/194C45AA4EBC7218
Brian Connelly,Orchard Point treasurer,,news/194D0372B0A07C80
Brian Hardman,President of the Maryland Charter Boat Association,,news/1983F9E656B36AA8
Brian Schmidt,Trappe Town Council president,,news/19996565990F4C68
Brooke Lierman,Comptroller of Maryland,,"news/1939343E6BAFB358, news/194FFA2A5DB11300"
Brooks Cahall,planning preservation and development section manager for DNREC,,news/1975265F25225130
Calvert Thompson,waterman,,news/19739A2A8FC36680
Carrie Selberg Robinson,"Director, NOAA Habitat Conservation Office",,news/194D0372B2A587C8
Cheryl Lewis,Town Manager,,"news/19739A2861262CF0, news/19739A34AE21B910"
Chris Adams,Delegate,,"news/19738B66CCECCAC8, news/19739A3400E01348, news/19791D446EEA0280"
Chris Markin,program manager for Maryland DNR's Information and Hunting R3 program,Maryland Department of Natural Resources,news/19559A57F5DFA428
Chris Moore,executive director of Chesapeake Bay Foundation,,news/1998652A4A4D2948
Chris Van Hollen,U.S. Senator,,"news/1939343E69920378, news/1943CF38E08276C8, news/194C45AA2C2DFB78, news/19739A2D4A388FD8, news/19739A2E14530C78"
Chrissy Houlahan,U.S. Representative,,news/195E42E46F98FF60
Christa Carignan,University of Maryland Extension coordinator of digital horticulture education,,news/19432574B8F03F88
Christopher Judy,Shellfish Division Director,Maryland Department of Natural Resources,news/19B0719117E93B28
Chuck Callahan,Talbot County Council President,,news/19738B65B9DFE330
Darran White Tilghman,Shore Rivers Community Engagement Director,,"news/19480AE5C09E8DD8, news/194DEE28DA9246D0"
David Sikorski,executive director of the Coastal Conservation Association in Maryland,,news/19B9101A68745E78
David Trone,U.S. Representative,,news/197A6F6F139755C8
Desiree Greaver,project manager for the Back River Restoration Committee,,news/19937841FA241C08
