location,name,role,organization,relevance
Eastern Shore (General),Rachel Jacobson,Assistant Secretary of the Army for Installations  Energy and Environment,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Anthony Brown,Attorney General,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Alice Volpitta,Baltimore Harbor Waterkeeper for Blue Water Baltimore,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Gussie Maguire,CBF Maryland Staff Scientist,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Paul Small,CBF Vice President for Litigation,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Steve Phillips,CEO  Phillips Seafood,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Libby Garvey,Chair of the Arlington County Board,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Rob Newberry,Chair of the Delmarva Fisheries Association,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Rob Newberry,Chairman of Delmarva Fisheries Association,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Amy Jacobs,Chesapeake Bay Director,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Allison Colden,Chesapeake Bay Foundation Executive Director,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Joe Wood,Chesapeake Bay Foundation Virginia Senior Scientist,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Allison Colden,Chesapeake Bay Foundation's Maryland Executive Director,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Jana Davis,Chesapeake Bay Trust President,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Autumn Conley,Chesapeake Conservation and Climate Corps member,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Annie Richards,Chester Riverkeeper,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Albert Nickerson,Chestertown Councilman,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Matt Pluta,Choptank Riverkeeper,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Matt Pluta,Choptank riverkeeper and director of riverkeeper programs for ShoreRivers,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Bethany Ziegler,Communications Director,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Brooke Lierman,Comptroller,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Brooke Lierman,Comptroller of Maryland,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Travis Breeding,County Commission President,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Kristen Fidler,DNR Assistant Secretary for Aquatic Resources,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Gregg Bortz,DNR media relations manager,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Shawn Garvin,DNREC Secretary,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Joe Rogerson,DNREC wildlife biologist,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Steve Arentz,Del.,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Jefferson Ghrist,Del.,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Jay Jacobs,Del.,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Sara Love,Del.,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Chris Adams,Del.,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Chris Adams,Delegate,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Marc Korman,Delegate,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Kristin Reilly,Director of the Choose Clean Water Coalition,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Carrie Selberg Robinson,Director  NOAA Habitat Conservation Office,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Lenny Pfeffer,Dorchester County Council President,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Mike Detmer,Dorchester County Council Vice President,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Mark Rupp,EPA Assistant Deputy Administrator,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Alan Girard,Eastern Shore director,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Alan Girard,Eastern Shore director at the Chesapeake Bay Foundation,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Jay Falstad,Executive Director of Queen Anne's Conservation Association,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Holly Porter,Executive Director of the Delmarva Chicken Association,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Jay Falstad,Executive Director of the Queen Anne's Conservation Association,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Allison Colden,Executive Director  Chesapeake Bay Foundation,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Ward Slacum,Executive Director  Oyster Recovery Partnership,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Susan Coomer,First Vice-President of the Chestertown Garden Club,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Robert Ehrlich,Former Governor,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Joan Maloof,Founder of Old-Growth Forest Network,,Relevant to Eastern Shore environment/aquaculture coverage.
Eastern Shore (General),Wes Moore,Gov.,,Relevant to Eastern Shore environment/aquaculture coverage.
