Topic,Description
Agriculture and Food,"Primary focus of story is agricultural practices; agricultural prices and marketing; agricultural education; food assistance or nutrition programs; food industry, supply, and safety; aquaculture; horticulture and plants. Measures concerning international trade in agricultural products may fall under Foreign Trade and International Finance policy area. Measures concerning forests on public lands may fall under Public Lands and Natural Resources policy area."
Animals,Primary focus of story is animal protection; human-animal relationships; wildlife conservation and habitat protection; veterinary medicine. Measures concerning endangered or threatened species may fall under Environmental Protection policy area. Measures concerning wildlife refuge matters may fall under Public Lands and Natural Resources policy area.
Armed Forces and National Security,"Primary focus of story is military operations and spending, facilities, procurement and weapons, personnel, intelligence; strategic materials; war and emergency powers; veterans’ issues. Measures concerning alliances and collective security, arms sales and military assistance, or arms control may fall under International Affairs policy area."
"Arts & Culture","Primary focus of story is art, literature, performing arts in all formats; arts and humanities funding; libraries, exhibitions, cultural centers; sound recording, motion pictures, television and film; cultural property and resources; cultural relations. Measures concerning intellectual property aspects of the arts may fall under Commerce policy area. Measures concerning religious freedom may fall under Civil Rights and Liberties, Minority Issues policy area."
"Civil Rights","Primary focus of story is discrimination on basis of race, ethnicity, age, sex, gender, health or disability; First Amendment rights; due process and equal protection; abortion rights; privacy. Measures concerning abortion rights and procedures may fall under Health policy area."
Commerce,"Primary focus of story is business investment, development, regulation; small business; consumer affairs; competition and restrictive trade practices; manufacturing, distribution, retail; marketing; intellectual property. Measures concerning international competitiveness and restrictions on imports and exports may fall under Foreign Trade and International Finance policy area."
Congress,"Primary focus of story is Members of Congress; general congressional oversight; congressional agencies, committees, personnel, and operations; legislative procedures; U.S. Capitol. Measures concerning oversight and investigation of specific matters may fall under the issue-specific relevant policy area."
Justice,"Primary focus of story is criminal offenses, investigation and prosecution, procedure and sentencing; corrections and imprisonment; juvenile crime; law enforcement administration; controlled substances regulation. Measures concerning terrorism may fall under Emergency Management or International Affairs policy areas."
Budget,"Primary focus of story is budgetary matters such as appropriations, public debt, the budget process, government lending, and government accounts; monetary policy and inflation; economic development, performance, and economic theory."
Education,"Primary focus of story is elementary, secondary, or higher education including special education and matters of academic performance, school administration, teaching, educational costs, and student aid (including federal student loans). Measures concerning college sports (including NCAA) may fall under Sports and Recreation policy area."
Elections,"Primary focus of story is political contests, including primary and general elections, and announcements by candidates for election."
Emergency Management,"Primary focus of story is emergency and disaster preparedness, response, recovery and mitigation; response to civil disturbances, natural and other disasters, including fires; emergency communications; security preparedness. Measures concerning public health emergencies may fall under Health policy area."
Energy,"Primary focus of story is all sources and supplies of energy, including renewable energy sources (e.g., solar and wind), oil and gas, coal, nuclear power; energy efficiency and conservation; costs, prices, and revenues; electric power transmission; public utility matters; hydropower."
Environmental Protection,"Primary focus of story is regulation of pollution including from hazardous substances and radioactive releases; climate change and greenhouse gases; reclamation of abandoned mines; oil spills; algal blooms; hypoxia in water; environmental assessment and research; solid waste and recycling; ecology; protection of coastal zones; invasive species. Measures concerning energy exploration, efficiency, and conservation may fall under Energy policy area. Measures concerning black lung benefits for miners may fall under Labor and Employment policy area."
