name,title
Rafael Cuevas Uribe,fisheries biology professor
Rick Zechman,associate dean of marine operations
Martien van Nieuwkoop,global director for agriculture and food
Hal McBee,Orchard Point partner
Scott Budden,Orchard Point president
Brian Connelly,Orchard Point treasurer
Brooke Lierman,Comptroller of Maryland
Johnny Shockley,owner and founder of Blue Oyster
Lenny Pfeffer,Dorchester County Council President
Mike Detmer,Dorchester County Council Vice President
Beth Anne Dorman,chief executive officer of For All Seasons
Kristy Mirando,director of Victim Services
Suzanne Anderson,Program Manager
Jay Anderson,
Gigi Windley,
Joey Sadler,
Karen Sadler,
Christy Wilkins,
Bob Timms,
Buck Lynch,Captain
Brent Lewis,moderator
George O'Donnell,waterman and politician
Calvert Thompson,waterman
Jeff Harrison,waterman
Rachel Fazenbaker,waterman
Eugene Austin,waterman
Chris Van Hollen,U.S. Senator
Ben Cardin,U.S. Senator
Andy Harris,U.S. Representative
Jay Jacobs,Delegate
Wes Moore,Maryland Gov.
Ron Fithian,Kent County Commission President
Allison Colden,Chesapeake Bay Foundation Executive Director
Rob Newberry,Chair of the Delmarva Fisheries Association
Solar Oysters LLC,has moved from Baltimore Harbor to Fishing Bay in Dorchester County.
Blue Oyster Environmental,which
Johnny Mautz,State Sen.
Jack Bailey,Sen.
Chris Adams,Del.
Allison Colden,Maryland executive director
Kristen Fidler,DNR Assistant Secretary for Aquatic Resources
Jeff Harrison,president of Talbot Watermen Association
Veronica Fernandez-Alvarado,
Patrick Thomas,county attorney
Linda Haddaway King,Rev.
David McQuay,Lifelong boat builder
Jeannie Haddaway-Riccio,
Christopher Adams,State Rep.
Rob King,Rev.
Steve McHenry,MARBIDCO Executive Director
Brittany Rawlings,
David Rose,board member
Pat Johnson,president
Johnny Mautz,Senator
Andy Harris,Congressman
Mike Detmer,Vice President
Marie Savage,
Alan Planner,
Darlene Planner,
Christopher Judy,Shellfish Division Director
Teri Moore,chairperson for the 2024 U.S. Oyster Festival Committee
Deborah Reynolds,
Ellynne Brice Davis,
Jack Brooks,"President, J.M. Clayton Company"
Ward Slacum,"Executive Director, Oyster Recovery Partnership"
Steve Phillips,"CEO, Phillips Seafood"
Herman Harrison,"President, Talbot County Watermen Association"
Alexandra Vlk,Medical Student
Robert Ehrlich,Former Governor
Jeff Harrison,president of the Talbot Watermen Association
Paul Small,CBF Vice President for Litigation
Toni Sprenkle,Executive Director of BDC
Gussie Maguire,CBF Maryland Staff Scientist
Jane Bellmyer,
Imani Black,Oyster farmer
Andrea Grabenstein,Reporter
Steve Burleson,Organizer
Ricky Fitzhugh,
Emma Ewing,Executive Director
Amy Jacobs,Chesapeake Bay Director
Dan Sweeney,SOAR Lead
Jon Farrington,
Phillip Stephens,
Joseph C. Gardener,
Brooke Ensminger,
Gregg Bortz,DNR media relations manager
Allison Colden,Maryland executive director of the Chesapeake Bay Foundation
Brooke Rollins,U.S. Secretary of Agriculture
Andy Harris,"Rep. (R-Md., 1st)"
Nick Hargrove,owner of Tilghman Island Seafood
Lori Chavez-DeRemer,U.S. Secretary of Labor
Stephanie Alexander,Manager of the UMCES Horn Point Laboratory
Donald Trump,President
