name,title
Susan Olsen,environmental advocate
Maris Wicker,
Sarah Gavian,chair of the Dorchester Dems Committee
Miriam Zijp,
Mary Dennard-Turner,
Peter Ditlevsen,Researcher
Susanne Ditlevsen,Researcher
Bruce Hickey,
Aruna Miller,Lt. Gov.
Brooke Lierman,Comptroller
William Ferguson,State Senate President
Pamela Beidle,Maryland Senator
Paul Pinsky,Maryland Energy Administration Director
Alexander Nunez,BGE Sr. Vice President
Chris Van Hollen,U.S. Senator
Skip Watson,
Barbara Watson,
Steve Kline,President and CEO of Eastern Shore Land Conservancy
Joel Dunn,President and CEO of Chesapeake Conservancy
Jennifer Connoley,landscape architect
Mark Eppard,arborist representative
Phyllis Rambo,vice president of the community center Board of Trustees
Lee Phillips,
Michael Klein,
Kathy Seeley,Montana District Court Judge
James Carroll,
Mike Ellwood,museum volunteer and fossil finder
Stephen Groff,Assistant Paleontology Collections Manager
Bertie Gregory,
Susan Estrich,
Mary Hunt,Founder of EverydayCheapskate.com
Hannah Combs,
Mikaela Boley,University of Maryland Extension principal agent associate
Christa Carignan,University of Maryland Extension coordinator of digital horticulture education
Jennie Schmidt,Sudlersville farmer
Mark Scallion,Center Director
Peter Goodwin,UMCES President
Jay A. Perman,University System of Maryland Chancellor
Charlie Monk,Board of Visitors Chair
Bill Dennison,UMCES Vice President
John Sarbanes,U.S. Representative
Vincent Leggett,
Dallin Johnson,
Tamara Thomsen,Wisconsin state maritime archaeologist
Wayne Lusardi,Michigan's state maritime archaeologist
Harvey Bootsma,Professor at the University of Wisconsin-Milwaukee's School of Freshwater Sciences
Brendon Baillod,Great Lakes historian
Bob Jaeck,Great Lakes historian
Frank H. Moody,Tuskegee airman
Annie Richards,Chester Riverkeeper
Tim O'Brien,Council member
David Foster,Mayor
Darran White Tilghman,Shore Rivers Community Engagement Director
Dan Small,Field ecologist and director of Natural Lands project
Tom Herz,Council member
Meghan Efland,Council member
Megan McGinn-Meals,public information officer for the Maryland Department of Natural Resources
Howard Neufeld,professor of biology at Appalachian State University
Ralph Comegna,
Mike Horsmon,
Evan Isaacson,research director
Lee Currey,water and science administration director
Bob Cassilly,County Executive
Bill Temmink,
The Lower Nanticoke,the only region to show improvement over the 15-year period
available at the,Cooperative are also key program partners.Hard copies of the report card are
Year Report Card,which examines data collected from 2008-2022 by Nanticoke Creekwatcher volunteers.The report card finds mixed results
of the river,averaging five-year blocks (2008-12
Nanticoke Creekwatchers,community scientists who collect water samples and take measurements directly in their adopted waterways
Eldorado and Brookview,and spans the Marshyhope Creek in northern Dorchester County.
to determine she,pregnant July 28; and· The cubs' genetic data is important for population management as the cubs wil
Conservation Biology Institute,part of the Cheetah Breeding Center Coalition - a group of 10 cheetah breeding centers across the Un
species and,a popular destination for children and families
in Front Royal,Virginia
cubs without interference,but as opportunities arise
recent weight check,staff confirmed there are three males and two females. The cubs appear to be strong
Ellie Tahmaseb,spokeswoman for the Smithsonian's National Zoo & Conservation Biology Institute
"News Document

 ShoreRivers",in the process of improving three community green spaces on the Eastern Shore
the current vegetation,removed to make way for seed planting in late winter
Towns Grant program,funded by the U
the program,providing funding for ShoreRivers to design multiple green infrastructure projects at St
"SUBMITTED
 
ShoreRivers",in the process of establishing perennial wildflower meadows at James T
or turf grass,into beautiful perennial wildflower meadows located at James T. Wright Park in Preston
Ted Scambos,ice scientist
Benjamin Davison,glaciologist
Holly Michael,Professor of Earth Sciences
Ben Cardin,U.S. Senator
Natalie Jones,
Drew McMullen,President of the Sultana Education Foundation
Jay Jacobs,state Delegate
Stephen Hershey,state Senator
Karen Couch,Kent County Superintendent of Schools
Albert Nickerson,Chestertown Councilman
Bob Campbell,National Park Service Planning and Development Manager
Shawn Garvin,DNREC Secretary
John Carney,Governor
