name,title,category
Susan Olsen,environmental advocate,Advocates
Steve Kline,President and CEO of Eastern Shore Land Conservancy,Advocates
Joel Dunn,President and CEO of Chesapeake Conservancy,Advocates
Phyllis Rambo,vice president of the community center Board of Trustees,Advocates
Annie Richards,Chester Riverkeeper,Advocates
Darran White Tilghman,Shore Rivers Community Engagement Director,Advocates
Year Report Card,which examines data collected from 2008-2022 by Nanticoke Creekwatcher volunteers.The report card finds mixed results,Advocates
Conservation Biology Institute,part of the Cheetah Breeding Center Coalition - a group of 10 cheetah breeding centers across the Un,Advocates
"News Document

 ShoreRivers",in the process of improving three community green spaces on the Eastern Shore,Advocates
"SUBMITTED
 
ShoreRivers",in the process of establishing perennial wildflower meadows at James T,Advocates
Drew McMullen,President of the Sultana Education Foundation,Advocates
Allison Colden,"Executive Director, Chesapeake Bay Foundation",Advocates
"OF SHORERIVERS
 
ShoreRivers",in the process of establishing perennial wildflower meadows at James T,Advocates
Terry Robbins,Chapter Chairman,Advocates
Matt Pluta,Choptank Riverkeeper,Advocates
Joe Wood,Chesapeake Bay Foundation Virginia Senior Scientist,Advocates
Ben Ford,Miles-Wye riverkeeper,Advocates
Joan Maloof,Founder of Old-Growth Forest Network,Advocates
Carlos Estin,tree steward,Advocates
Alan Girard,Eastern Shore director at the Chesapeake Bay Foundation,Advocates
Bettye Maki,Talbot Bird Club president,Advocates
Kristin Reilly,Director of the Choose Clean Water Coalition,Advocates
Jay Falstad,Executive Director of the Queen Anne's Conservation Association,Advocates
Rob Newberry,Chairman of Delmarva Fisheries Association,Advocates
Brian Hardman,President of the Maryland Charter Boat Association,Advocates
Kenneth Jeffries,Vice President of the Upper Bay Charter Captains Association,Advocates
Alan Girard,Maryland advocacy director at the Chesapeake Bay Foundation,Advocates
Jay Falstad,Executive Director of Queen Anne's Conservation Association,Advocates
Zach Kelleher,Sassafras Riverkeeper,Advocates
wetlands and woodlands,the first step to preserving amphibian populations,Advocates
Susan Coomer,First Vice-President of the Chestertown Garden Club,Advocates
Paul Krafel,Naturalist,Advocates
Allison Colden,Maryland executive director of the Chesapeake Bay Foundation,Advocates
Alice Volpitta,Baltimore Harbor Waterkeeper for Blue Water Baltimore,Advocates
Jana Davis,Chesapeake Bay Trust President,Advocates
Allison Colden,executive director of the Chesapeake Bay Foundation Maryland,Advocates
Chris Moore,executive director of Chesapeake Bay Foundation,Advocates
Alan Girard,advocacy director of the Chesapeake Bay Foundation,Advocates
Matt Pluta,Choptank riverkeeper and director of riverkeeper programs for ShoreRivers,Advocates
Nancy Benner,program coordinator,Advocates
David Sikorski,executive director of the Coastal Conservation Association in Maryland,Advocates
Allison Colden,Chesapeake Bay Foundation's Maryland Executive Director,Advocates
Holly Porter,Executive Director of the Delmarva Chicken Association,Advocates
Allison Colden,Chesapeake Bay Foundation Executive Director,Advocates
Rob Newberry,Chair of the Delmarva Fisheries Association,Advocates
Blue Oyster Environmental,which,Advocates
Jeff Harrison,president of Talbot Watermen Association,Advocates
Herman Harrison,"President, Talbot County Watermen Association",Advocates
Jeff Harrison,president of the Talbot Watermen Association,Advocates
Paul Small,CBF Vice President for Litigation,Advocates
Steve Burleson,Organizer,Advocates
