name,title,category
Paul Pinsky,Maryland Energy Administration Director,Business/Industry
Alexander Nunez,BGE Sr. Vice President,Business/Industry
Jennifer Connoley,landscape architect,Business/Industry
Stephen Groff,Assistant Paleontology Collections Manager,Business/Industry
Mark Scallion,Center Director,Business/Industry
Dan Small,Field ecologist and director of Natural Lands project,Business/Industry
Lee Currey,water and science administration director,Business/Industry
the current vegetation,removed to make way for seed planting in late winter,Business/Industry
Bob Campbell,National Park Service Planning and Development Manager,Business/Industry
Carrie Selberg Robinson,"Director, NOAA Habitat Conservation Office",Business/Industry
Darran White Tilghman,director of community engagement,Business/Industry
Department has confirmed,manager.No customers were impacted by this event. While the Talbot County Health,Business/Industry
New Grounds Composting,Talbot County's first residential and commercial composting service,Business/Industry
If the house,built before 1980 and not upgraded since,Business/Industry
number of reasons,including hunter effort,Business/Industry
Quentin Johnson,Director of Public Affairs,Business/Industry
wanted dog park,initially included in draft park plans,Business/Industry
and the town,working on a purchase or lease agreement for the site,Business/Industry
Alan Girard,Eastern Shore director,Business/Industry
Cheryl Lewis,Town Manager,Business/Industry
Amanda Poskaitis,coastal resilience program manager,Business/Industry
Chris Becraft,Partner at Underwood and Associates,Business/Industry
Project at Poplar,Director Holly Miller gave an update on both the Paul S. Sarbanes Ecosystem Restoration,Business/Industry
Ken Kimmell,Vice President of Development for Offshore Wind,Business/Industry
Ginna Tiernan,executive director of Adkins,Business/Industry
Jenny Houghton,assistant director of Adkins Arboretum,Business/Industry
Isabel Hardesty,ShoreRivers Executive Director,Business/Industry
These tiny frogs,only 0.75 to 1.5 inches long,Business/Industry
Bethany Ziegler,Communications Director,Business/Industry
Jo Perkins,President,Business/Industry
Bonnie Farmer,communications and marketing coordinator,Business/Industry
Secethia Boardley-Davis,First Vice President,Business/Industry
Lindsey Craig,IKEA Sustainability Business Partner,Business/Industry
Desiree Greaver,project manager for the Back River Restoration Committee,Business/Industry
that could harm,"Director Alan Girard said Darling Ingredients has committed violations ""time and again""",Business/Industry
Jake Solyst,web content manager,Business/Industry
Robert Rauch,president of Rauch Inc.,Business/Industry
Al Martinez,President of the Tuckahoe Equestrian Center,Business/Industry
Martien van Nieuwkoop,global director for agriculture and food,Business/Industry
Hal McBee,Orchard Point partner,Business/Industry
Scott Budden,Orchard Point president,Business/Industry
Brian Connelly,Orchard Point treasurer,Business/Industry
Beth Anne Dorman,chief executive officer of For All Seasons,Business/Industry
Kristy Mirando,director of Victim Services,Business/Industry
Suzanne Anderson,Program Manager,Business/Industry
Allison Colden,Maryland executive director,Business/Industry
Steve McHenry,MARBIDCO Executive Director,Business/Industry
Pat Johnson,president,Business/Industry
Mike Detmer,Vice President,Business/Industry
Christopher Judy,Shellfish Division Director,Business/Industry
Jack Brooks,"President, J.M. Clayton Company",Business/Industry
Toni Sprenkle,Executive Director of BDC,Business/Industry
Emma Ewing,Executive Director,Business/Industry
Amy Jacobs,Chesapeake Bay Director,Business/Industry
