name,title,category
Sarah Gavian,chair of the Dorchester Dems Committee,Government Officials
Aruna Miller,Lt. Gov.,Government Officials
Brooke Lierman,Comptroller,Government Officials
William Ferguson,State Senate President,Government Officials
Pamela Beidle,Maryland Senator,Government Officials
Chris Van Hollen,U.S. Senator,Government Officials
Kathy Seeley,Montana District Court Judge,Government Officials
Charlie Monk,Board of Visitors Chair,Government Officials
John Sarbanes,U.S. Representative,Government Officials
Tamara Thomsen,Wisconsin state maritime archaeologist,Government Officials
Wayne Lusardi,Michigan's state maritime archaeologist,Government Officials
Tim O'Brien,Council member,Government Officials
David Foster,Mayor,Government Officials
Tom Herz,Council member,Government Officials
Meghan Efland,Council member,Government Officials
Megan McGinn-Meals,public information officer for the Maryland Department of Natural Resources,Government Officials
Bob Cassilly,County Executive,Government Officials
in Front Royal,Virginia,Government Officials
Towns Grant program,funded by the U,Government Officials
the program,providing funding for ShoreRivers to design multiple green infrastructure projects at St,Government Officials
Ben Cardin,U.S. Senator,Government Officials
Jay Jacobs,state Delegate,Government Officials
Stephen Hershey,state Senator,Government Officials
Karen Couch,Kent County Superintendent of Schools,Government Officials
Albert Nickerson,Chestertown Councilman,Government Officials
Shawn Garvin,DNREC Secretary,Government Officials
John Carney,Governor,Government Officials
Rob Wittman,U.S. Representative,Government Officials
Cliff Bentz,U.S. Representative,Government Officials
the program,also providing funding for ShoreRivers to design multiple green infrastructure projects at St,Government Officials
towns of Preston,Oxford,Government Officials
has confirmed there,minimal impact on public health,Government Officials
Chris Markin,program manager for Maryland DNR's Information and Hunting R3 program,Government Officials
Tom Sanders,Pickering Board President,Government Officials
determine if it,adequate,Government Officials
Jamie Raskin,U.S. Representative,Government Officials
Chrissy Houlahan,U.S. Representative,Government Officials
Jameson Harrington,councilman,Government Officials
Jeff Jackson,Commission Chairman,Government Officials
Hannah Cawley,Vice-Chairman,Government Officials
Roger McKnight,Member,Government Officials
Travis Breeding,County Commission President,Government Officials
Keith Bilbrough,Commission Member,Government Officials
Elizabeth Beales,board administrator,Government Officials
Andy Harris,U.S. Representative,Government Officials
Serena McIlwain,Maryland Department of the Environment Secretary,Government Officials
Anthony Brown,Attorney General,Government Officials
of the park,intended as open space,Government Officials
The request,approved unanimously,Government Officials
Chuck Callahan,Talbot County Council President,Government Officials
Pete Lesher,Council Vice President,Government Officials
Erin Braband,Trappe's town clerk,Government Officials
Chip Councell,commission Chairman,Government Officials
Lynn Mielke,Talbot County Council member,Government Officials
Sara Love,Delegate,Government Officials
Justin Ready,Senator,Government Officials
Larry Porter,Commission Vice President,Government Officials
Travis Breeding,Commission President,Government Officials
Chris Adams,Delegate,Government Officials
Nicole Carlozo,program manager at Maryland DNR,Government Officials
Kevin Atticks,Maryland Secretary of Agriculture,Government Officials
Steve Arentz,Del.,Government Officials
Jefferson Ghrist,Del.,Government Officials
Brooks Cahall,planning preservation and development section manager for DNREC,Government Officials
Jeff Ghrist,State Del.,Government Officials
Jay Jacobs,Del.,Government Officials
Johnny Mautz,Sen.,Government Officials
Sara Love,Del.,Government Officials
in Talbot County,Miller said the Maryland Port Administration — along with the United,Government Officials
Dutch Ruppersberger,U.S. Representative,Government Officials
David Trone,U.S. Representative,Government Officials
Van Hollen,U.S. Senator,Government Officials
Jeff Ghrist,Delegate,Government Officials
Marc Korman,Committee Chair,Government Officials
in Talbot County,Miller said the Maryland Port Administration — along with the United States,Government Officials
Mary Washington,Senator,Government Officials
Malcolm Augustine,Senator,Government Officials
Mary Beth Carozza,Senator,Government Officials
Mark Rupp,EPA Assistant Deputy Administrator,Government Officials
Joe Biden,President,Government Officials
Gerry Connolly,Rep. (D-Virginia),Government Officials
Libby Garvey,Chair of the Arlington County Board,Government Officials
Don Beyer,Rep. (D-Virginia),Government Officials
Tim Kaine,Sen. (D-Virginia),Government Officials
Beth Schlimm,Maryland DNR Herptologist,Government Officials
Ron Fithian,Kent County Commission President,Government Officials
Wes Moore,Governor,Government Officials
Daniel Fox,deputy county administrator,Government Officials
Francis Smith,of the Maryland Forest Service,Government Officials
Autumn Conley,Chesapeake Conservation and Climate Corps member,Government Officials
Justinian Dispenza,Member,Government Officials
Rachel Jacobson,"Assistant Secretary of the Army for Installations, Energy and Environment",Government Officials
Liz Miranda,"Deputy to the Commanding General, Communications and Electronics Command",Government Officials
Ben Grumbles,Maryland Environment Secretary,Government Officials
creating the island,to reestablish some of the habitat that waterfowl and shorebirds have lost around the Chesapeake to,Government Officials
of the Environment,stepping up to levy fines and enforce the terms of the consent decree,Government Officials
the facility,put under a consent decree with MDE,Government Officials
Brian Schmidt,Trappe Town Council president,Government Officials
Johnny Mautz,State Sen.,Government Officials
Wes Moore,Gov.,Government Officials
Ashley Kaiser,Council President,Government Officials
Ronald Reagan,U.S. President,Government Officials
Joe Rogerson,DNREC wildlife biologist,Government Officials
Andrew Rubin,Newark Police Department spokesman,Government Officials
Rick Van Emburgh,Town Engineer,Government Officials
Elmer Davis,Ward 4 Council Member,Government Officials
