name,title,category
Peter Ditlevsen,Researcher,Scientists/Academics
Susanne Ditlevsen,Researcher,Scientists/Academics
Mikaela Boley,University of Maryland Extension principal agent associate,Scientists/Academics
Christa Carignan,University of Maryland Extension coordinator of digital horticulture education,Scientists/Academics
Peter Goodwin,UMCES President,Scientists/Academics
Jay A. Perman,University System of Maryland Chancellor,Scientists/Academics
Bill Dennison,UMCES Vice President,Scientists/Academics
Harvey Bootsma,Professor at the University of Wisconsin-Milwaukee's School of Freshwater Sciences,Scientists/Academics
Brendon Baillod,Great Lakes historian,Scientists/Academics
Bob Jaeck,Great Lakes historian,Scientists/Academics
Howard Neufeld,professor of biology at Appalachian State University,Scientists/Academics
Evan Isaacson,research director,Scientists/Academics
of the river,averaging five-year blocks (2008-12,Scientists/Academics
Nanticoke Creekwatchers,community scientists who collect water samples and take measurements directly in their adopted waterways,Scientists/Academics
to determine she,pregnant July 28; and· The cubs' genetic data is important for population management as the cubs wil,Scientists/Academics
Ellie Tahmaseb,spokeswoman for the Smithsonian's National Zoo & Conservation Biology Institute,Scientists/Academics
Ted Scambos,ice scientist,Scientists/Academics
Benjamin Davison,glaciologist,Scientists/Academics
Holly Michael,Professor of Earth Sciences,Scientists/Academics
Ruth Carmichael,marine ecologist,Scientists/Academics
Jamie Testa,dolphin researcher,Scientists/Academics
Dan Slone,manatee researcher,Scientists/Academics
Neil Gunter,state marine police officer,Scientists/Academics
Kent Mountford,biologist,Scientists/Academics
Stephen Godfrey,Curator of Paleontology,Scientists/Academics
weather conditions,availability of natural foods like acorns and current population size of the herd,Scientists/Academics
Arthur Daniel Jones III,Professor,Scientists/Academics
Megan Mccabe,research specialist,Scientists/Academics
Tane Casserley,"Research, Resource Protection and Permit Coordinator",Scientists/Academics
Allyson Ropp,East Carolina PhD candidate,Scientists/Academics
Desmond Kahn,retired fisheries biologist,Scientists/Academics
Wayne Bell,PhD,Scientists/Academics
Stephen J. Godfrey,Curator of Paleontology,Scientists/Academics
Paul R. Murdoch Jr.,Research Associate,Scientists/Academics
Holly Keepers,Blackwater Wildlife biologist,Scientists/Academics
Jacob Dykes,Wildlife Specialist and Assistant Professor,Scientists/Academics
Adam Hartstone-Rose,Biology Professor,Scientists/Academics
Marcus Lashley,professor of wildlife ecology and conservation,Scientists/Academics
William Gulsby,professor of wildlife ecology and management,Scientists/Academics
Jeremy Werdell,NASA project scientist,Scientists/Academics
Amir Ibrahim,project science lead,Scientists/Academics
Vanderlei Martins,director of the Earth Space Institute and physics professor,Scientists/Academics
Shane Brill,Permaculture educator,Scientists/Academics
Shane Brill,permaculture educator at Washington College,Scientists/Academics
Matt Neff,curator of estuarine biology,Scientists/Academics
Nicolaus Copernicus,Polish astronomer,Scientists/Academics
Eileen Crist,Sociologist,Scientists/Academics
Doug Tallamy,author and naturalist,Scientists/Academics
Rafael Cuevas Uribe,fisheries biology professor,Scientists/Academics
Rick Zechman,associate dean of marine operations,Scientists/Academics
Alexandra Vlk,Medical Student,Scientists/Academics
Gussie Maguire,CBF Maryland Staff Scientist,Scientists/Academics
Stephanie Alexander,Manager of the UMCES Horn Point Laboratory,Scientists/Academics
