name,title,category
Jennie Schmidt,Sudlersville farmer,Watermen/Farmers
into Windmill Branch,headwaters of the Tred Avon River,Watermen/Farmers
of the rest,ensuring that the pumpkins are composted responsibly and transformed into nutrient-rich compost that benefits local soil,Watermen/Farmers
Luke McFadden,Baltimore crabber and social media influencer,Watermen/Farmers
Johnny Shockley,owner and founder of Blue Oyster,Watermen/Farmers
Buck Lynch,Captain,Watermen/Farmers
George O'Donnell,waterman and politician,Watermen/Farmers
Calvert Thompson,waterman,Watermen/Farmers
Jeff Harrison,waterman,Watermen/Farmers
Rachel Fazenbaker,waterman,Watermen/Farmers
Eugene Austin,waterman,Watermen/Farmers
Solar Oysters LLC,has moved from Baltimore Harbor to Fishing Bay in Dorchester County.,Watermen/Farmers
David McQuay,Lifelong boat builder,Watermen/Farmers
Teri Moore,chairperson for the 2024 U.S. Oyster Festival Committee,Watermen/Farmers
Ward Slacum,"Executive Director, Oyster Recovery Partnership",Watermen/Farmers
Steve Phillips,"CEO, Phillips Seafood",Watermen/Farmers
Imani Black,Oyster farmer,Watermen/Farmers
Nick Hargrove,owner of Tilghman Island Seafood,Watermen/Farmers
