name,title,category
Susan Olsen,environmental advocate,Advocates
Sarah Gavian,chair of the Dorchester Dems Committee,Government Officials
Peter Ditlevsen,Researcher,Scientists/Academics
Susanne Ditlevsen,Researcher,Scientists/Academics
Aruna Miller,Lt. Gov.,Government Officials
Brooke Lierman,Comptroller,Government Officials
William Ferguson,State Senate President,Government Officials
Pamela Beidle,Maryland Senator,Government Officials
Paul Pinsky,Maryland Energy Administration Director,Business/Industry
Alexander Nunez,BGE Sr. Vice President,Business/Industry
Chris Van Hollen,U.S. Senator,Government Officials
Steve Kline,President and CEO of Eastern Shore Land Conservancy,Advocates
Joel Dunn,President and CEO of Chesapeake Conservancy,Advocates
Jennifer Connoley,landscape architect,Business/Industry
Mark Eppard,arborist representative,Other
Phyllis Rambo,vice president of the community center Board of Trustees,Advocates
Kathy Seeley,Montana District Court Judge,Government Officials
Mike Ellwood,museum volunteer and fossil finder,Other
Stephen Groff,Assistant Paleontology Collections Manager,Business/Industry
Mary Hunt,Founder of EverydayCheapskate.com,Other
Mikaela Boley,University of Maryland Extension principal agent associate,Scientists/Academics
Christa Carignan,University of Maryland Extension coordinator of digital horticulture education,Scientists/Academics
Jennie Schmidt,Sudlersville farmer,Watermen/Farmers
Mark Scallion,Center Director,Business/Industry
Peter Goodwin,UMCES President,Scientists/Academics
Jay A. Perman,University System of Maryland Chancellor,Scientists/Academics
Charlie Monk,Board of Visitors Chair,Government Officials
Bill Dennison,UMCES Vice President,Scientists/Academics
John Sarbanes,U.S. Representative,Government Officials
Tamara Thomsen,Wisconsin state maritime archaeologist,Government Officials
Wayne Lusardi,Michigan's state maritime archaeologist,Government Officials
Harvey Bootsma,Professor at the University of Wisconsin-Milwaukee's School of Freshwater Sciences,Scientists/Academics
Brendon Baillod,Great Lakes historian,Scientists/Academics
Bob Jaeck,Great Lakes historian,Scientists/Academics
Frank H. Moody,Tuskegee airman,Other
Annie Richards,Chester Riverkeeper,Advocates
Tim O'Brien,Council member,Government Officials
David Foster,Mayor,Government Officials
Darran White Tilghman,Shore Rivers Community Engagement Director,Advocates
Dan Small,Field ecologist and director of Natural Lands project,Business/Industry
Tom Herz,Council member,Government Officials
Meghan Efland,Council member,Government Officials
Megan McGinn-Meals,public information officer for the Maryland Department of Natural Resources,Government Officials
Howard Neufeld,professor of biology at Appalachian State University,Scientists/Academics
Evan Isaacson,research director,Scientists/Academics
Lee Currey,water and science administration director,Business/Industry
Bob Cassilly,County Executive,Government Officials
The Lower Nanticoke,the only region to show improvement over the 15-year period,Other
available at the,Cooperative are also key program partners.Hard copies of the report card are,Other
Year Report Card,which examines data collected from 2008-2022 by Nanticoke Creekwatcher volunteers.The report card finds mixed results,Advocates
of the river,averaging five-year blocks (2008-12,Scientists/Academics
Nanticoke Creekwatchers,community scientists who collect water samples and take measurements directly in their adopted waterways,Scientists/Academics
Eldorado and Brookview,and spans the Marshyhope Creek in northern Dorchester County.,Other
to determine she,pregnant July 28; and· The cubs' genetic data is important for population management as the cubs wil,Scientists/Academics
Conservation Biology Institute,part of the Cheetah Breeding Center Coalition - a group of 10 cheetah breeding centers across the Un,Advocates
species and,a popular destination for children and families,Other
in Front Royal,Virginia,Government Officials
cubs without interference,but as opportunities arise,Other
recent weight check,staff confirmed there are three males and two females. The cubs appear to be strong,Other
Ellie Tahmaseb,spokeswoman for the Smithsonian's National Zoo & Conservation Biology Institute,Scientists/Academics
"News Document

 ShoreRivers",in the process of improving three community green spaces on the Eastern Shore,Advocates
the current vegetation,removed to make way for seed planting in late winter,Business/Industry
Towns Grant program,funded by the U,Government Officials
the program,providing funding for ShoreRivers to design multiple green infrastructure projects at St,Government Officials
"SUBMITTED
 
ShoreRivers",in the process of establishing perennial wildflower meadows at James T,Advocates
or turf grass,into beautiful perennial wildflower meadows located at James T. Wright Park in Preston,Other
Ted Scambos,ice scientist,Scientists/Academics
Benjamin Davison,glaciologist,Scientists/Academics
Holly Michael,Professor of Earth Sciences,Scientists/Academics
Ben Cardin,U.S. Senator,Government Officials
Drew McMullen,President of the Sultana Education Foundation,Advocates
Jay Jacobs,state Delegate,Government Officials
Stephen Hershey,state Senator,Government Officials
Karen Couch,Kent County Superintendent of Schools,Government Officials
Albert Nickerson,Chestertown Councilman,Government Officials
Bob Campbell,National Park Service Planning and Development Manager,Business/Industry
Shawn Garvin,DNREC Secretary,Government Officials
John Carney,Governor,Government Officials
Allison Colden,"Executive Director, Chesapeake Bay Foundation",Advocates
Rob Wittman,U.S. Representative,Government Officials
Carrie Selberg Robinson,"Director, NOAA Habitat Conservation Office",Business/Industry
Cliff Bentz,U.S. Representative,Government Officials
the program,also providing funding for ShoreRivers to design multiple green infrastructure projects at St,Government Officials
"OF SHORERIVERS
 
ShoreRivers",in the process of establishing perennial wildflower meadows at James T,Advocates
mowed lawn areas,or turf grass,Other
Park in Preston,Oxford Cemetery,Other
towns of Preston,Oxford,Government Officials
Darran White Tilghman,director of community engagement,Business/Industry
of the backup,due to the sewer line being clogged with a combination of grease,Other
has confirmed there,minimal impact on public health,Government Officials
Department has confirmed,manager.No customers were impacted by this event. While the Talbot County Health,Business/Industry
into Windmill Branch,headwaters of the Tred Avon River,Watermen/Farmers
In addition,everyone should keep fats oil,Other
