name,title,category
Steve Kline,President and CEO of Eastern Shore Land Conservancy,Advocates
Joel Dunn,President and CEO of Chesapeake Conservancy,Advocates
Annie Richards,Chester Riverkeeper,Advocates
Darran White Tilghman,Shore Rivers Community Engagement Director,Advocates
Year Report Card,which examines data collected from 2008-2022 by Nanticoke Creekwatcher volunteers.The report card finds mixed results,Advocates
News Document ShoreRivers,in the process of improving three community green spaces on the Eastern Shore,Advocates
Allison Colden,"Executive Director, Chesapeake Bay Foundation",Advocates
Matt Pluta,Choptank Riverkeeper,Advocates
Joe Wood,Chesapeake Bay Foundation Virginia Senior Scientist,Advocates
Ben Ford,Miles-Wye riverkeeper,Advocates
Joan Maloof,Founder of Old-Growth Forest Network,Advocates
Alan Girard,Eastern Shore director at the Chesapeake Bay Foundation,Advocates
Bettye Maki,Talbot Bird Club president,Advocates
Kristin Reilly,Director of the Choose Clean Water Coalition,Advocates
Jay Falstad,Executive Director of the Queen Anne's Conservation Association,Advocates
Rob Newberry,Chairman of Delmarva Fisheries Association,Advocates
Brian Hardman,President of the Maryland Charter Boat Association,Advocates
Kenneth Jeffries,Vice President of the Upper Bay Charter Captains Association,Advocates
Alan Girard,Maryland advocacy director at the Chesapeake Bay Foundation,Advocates
Jay Falstad,Executive Director of Queen Anne's Conservation Association,Advocates
Zach Kelleher,Sassafras Riverkeeper,Advocates
Susan Coomer,First Vice-President of the Chestertown Garden Club,Advocates
son ColdenAlli,Maryland executive director of the Chesapeake Bay Foundation,Advocates
Alice Volpitta,Baltimore Harbor Waterkeeper for Blue Water Baltimore,Advocates
Jana Davis,Chesapeake Bay Trust President,Advocates
Allison Colden,executive director of the Chesapeake Bay Foundation Maryland,Advocates
Chris Moore,executive director of Chesapeake Bay Foundation,Advocates
Alan Girard,advocacy director of the Chesapeake Bay Foundation,Advocates
Matt Pluta,Choptank riverkeeper and director of riverkeeper programs for ShoreRivers,Advocates
David Sikorski,executive director of the Coastal Conservation Association in Maryland,Advocates
Allison Colden,Chesapeake Bay Foundation's Maryland Executive Director,Advocates
Holly Porter,Executive Director of the Delmarva Chicken Association,Advocates
Allison Colden,Chesapeake Bay Foundation Executive Director,Advocates
Rob Newberry,Chair of the Delmarva Fisheries Association,Advocates
Blue Oyster Environmental,which,Advocates
Jeff Harrison,president of Talbot Watermen Association,Advocates
Herman Harrison,"President, Talbot County Watermen Association",Advocates
Jeff Harrison,president of the Talbot Watermen Association,Advocates
Paul Small,CBF Vice President for Litigation,Advocates
Paul Pinsky,Maryland Energy Administration Director,Business/Industry
Lee Currey,water and science administration director,Business/Industry
Bob Campbell,National Park Service Planning and Development Manager,Business/Industry
Carrie Selberg Robinson,"Director, NOAA Habitat Conservation Office",Business/Industry
New Grounds Composting,Talbot County's first residential and commercial composting service,Business/Industry
Alan Girard,Eastern Shore director,Business/Industry
Cheryl Lewis,Town Manager,Business/Industry
Amanda Poskaitis,coastal resilience program manager,Business/Industry
Jenny Houghton,assistant director of Adkins Arboretum,Business/Industry
Isabel Hardesty,ShoreRivers Executive Director,Business/Industry
Bethany Ziegler,Communications Director,Business/Industry
Desiree Greaver,project manager for the Back River Restoration Committee,Business/Industry
Al Martinez,President of the Tuckahoe Equestrian Center,Business/Industry
Scott Budden,Orchard Point president,Business/Industry
Brian Connelly,Orchard Point treasurer,Business/Industry
Allison Colden,Maryland executive director,Business/Industry
Christopher Judy,Shellfish Division Director,Business/Industry
Amy Jacobs,Chesapeake Bay Director,Business/Industry
Sarah Gavian,chair of the Dorchester Dems Committee,Government Officials
Aruna Miller,Lt. Gov.,Government Officials
Brooke Lierman,Comptroller,Government Officials
William Ferguson,State Senate President,Government Officials
Pamela Beidle,Maryland Senator,Government Officials
Chris Van Hollen,U.S. Senator,Government Officials
John Sarbanes,U.S. Representative,Government Officials
in Front Royal,Virginia,Government Officials
Ben Cardin,U.S. Senator,Government Officials
Jay Jacobs,state Delegate,Government Officials
Karen Couch,Kent County Superintendent of Schools,Government Officials
Albert Nickerson,Chestertown Councilman,Government Officials
Shawn Garvin,DNREC Secretary,Government Officials
John Carney,Governor,Government Officials
Rob Wittman,U.S. Representative,Government Officials
Chris Markin,program manager for Maryland DNR's Information and Hunting R3 program,Government Officials
Jamie Raskin,U.S. Representative,Government Officials
Chrissy Houlahan,U.S. Representative,Government Officials
Travis Breeding,County Commission President,Government Officials
Anthony Brown,Attorney General,Government Officials
Chuck Callahan,Talbot County Council President,Government Officials
Erin Braband,Trappe's town clerk,Government Officials
Lynn Mielke,Talbot County Council member,Government Officials
Justin Ready,Senator,Government Officials
Chris Adams,Delegate,Government Officials
Nicole Carlozo,program manager at Maryland DNR,Government Officials
Kevin Atticks,Maryland Secretary of Agriculture,Government Officials
Steve Arentz,Del.,Government Officials
Jefferson Ghrist,Del.,Government Officials
Brooks Cahall,planning preservation and development section manager for DNREC,Government Officials
Jeff Ghrist,State Del.,Government Officials
Jay Jacobs,Del.,Government Officials
Sara Love,Del.,Government Officials
in Talbot County,Miller said the Maryland Port Administration — along with the United,Government Officials
Dutch Ruppersberger,U.S. Representative,Government Officials
David Trone,U.S. Representative,Government Officials
Van Hollen,U.S. Senator,Government Officials
in Talbot County,Miller said the Maryland Port Administration — along with the United States,Government Officials
Malcolm Augustine,Senator,Government Officials
Mary Beth Carozza,Senator,Government Officials
Mark Rupp,EPA Assistant Deputy Administrator,Government Officials
Joe Biden,President,Government Officials
Gerry Connolly,Rep. (D-Virginia),Government Officials
Libby Garvey,Chair of the Arlington County Board,Government Officials
Don Beyer,Rep. (D-Virginia),Government Officials
Tim Kaine,Sen. (D-Virginia),Government Officials
Beth Schlimm,Maryland DNR Herptologist,Government Officials
Ron Fithian,Kent County Commission President,Government Officials
Wes Moore,Governor,Government Officials
Francis Smith,of the Maryland Forest Service,Government Officials
Autumn Conley,Chesapeake Conservation and Climate Corps member,Government Officials
Rachel Jacobson,"Assistant Secretary of the Army for Installations, Energy and Environment",Government Officials
Ben Grumbles,Maryland Environment Secretary,Government Officials
Brian Schmidt,Trappe Town Council president,Government Officials
